Pcr,Stock,Name,종가,시가,고가,저가,대용가,거래량,거래대금,PER,PSR,PBR,PCR,P/EBITDAPS,Dividend Yield,Volatility
380954,5380,현대자동차(주),162500.00 ,163500.00 ,164000.00 ,162000.00 ,126360.00 ,464194.00 ,75480271000.00 ,65.98 ,0.77 ,0.93 ,6.01 ,11.17 ,2.30 ,25.04 
383511,660,에스케이하이닉스(주),81500.00 ,79400.00 ,81500.00 ,79300.00 ,61460.00 ,2985508.00 ,2.41E+11,5.85 ,1.35 ,1.06 ,3.15 ,2.77 ,1.78 ,33.20 
387586,90430,(주)아모레퍼시픽,139500.00 ,136000.00 ,140000.00 ,134500.00 ,102980.00 ,360094.00 ,49829818500.00 ,34.21 ,2.76 ,2.11 ,16.88 ,18.62 ,0.70 ,45.59 
388742,14820,동원시스템즈(주),46900.00 ,48900.00 ,48950.00 ,46650.00 ,35810.00 ,22765.00 ,1083494700.00 ,35.42 ,1.59 ,2.63 ,25.49 ,11.98 ,1.27 ,39.04 
520047,51600,한전KPS(주),33850.00 ,33850.00 ,34050.00 ,33450.00 ,26050.00 ,79126.00 ,2675229100.00 ,15.52 ,1.11 ,1.38 ,11.44 ,9.04 ,3.54 ,37.05 
620084,4170,(주)신세계,228000.00 ,225500.00 ,229000.00 ,220000.00 ,173940.00 ,81630.00 ,18480206500.00 ,10.26 ,1.34 ,0.60 ,3.83 ,5.36 ,1.31 ,30.75 
622850,36570,(주)엔씨소프트,468000.00 ,469500.00 ,476500.00 ,464000.00 ,354160.00 ,98990.00 ,46588214000.00 ,27.29 ,4.52 ,3.28 ,25.66 ,23.33 ,1.16 ,41.73 
810045,7070,(주)지에스리테일,29800.00 ,29300.00 ,29900.00 ,29300.00 ,22530.00 ,131038.00 ,3894593200.00 ,3.15 ,0.29 ,0.79 ,4.14 ,3.35 ,3.93 ,26.54 
810193,30200,(주)케이티,37700.00 ,37600.00 ,37750.00 ,37300.00 ,30080.00 ,715978.00 ,26882077300.00 ,8.95 ,0.48 ,0.85 ,1.79 ,2.05 ,4.58 ,20.76 
820032,30000,(주)제일기획,23750.00 ,23650.00 ,24100.00 ,23550.00 ,18400.00 ,253632.00 ,6025995050.00 ,25.46 ,2.37 ,3.82 ,25.11 ,25.98 ,3.67 ,24.91 
820482,12750,(주)에스원,64200.00 ,62900.00 ,64200.00 ,62000.00 ,47800.00 ,62615.00 ,3959268000.00 ,18.66 ,0.95 ,2.46 ,6.81 ,6.51 ,3.46 ,23.21 
820717,18260,삼성에스디에스(주),127500.00 ,126000.00 ,128000.00 ,125000.00 ,98280.00 ,80444.00 ,10222495000.00 ,30.11 ,1.98 ,1.96 ,18.17 ,14.21 ,1.88 ,25.77 
C46093,178920,피아이첨단소재(주),30700.00 ,30000.00 ,30950.00 ,28850.00 ,22260.00 ,571984.00 ,17040928700.00 ,14.09 ,2.99 ,2.89 ,10.18 ,9.06 ,3.55 ,42.85 
C89248,111770,(주)영원무역,47200.00 ,47000.00 ,47400.00 ,46450.00 ,35490.00 ,116191.00 ,5453892300.00 ,15.17 ,1.45 ,1.53 ,20.51 ,12.53 ,2.10 ,38.26 
H32072,139480,(주)이마트,100000.00 ,97600.00 ,102000.00 ,97400.00 ,75890.00 ,193658.00 ,19297822700.00 ,3.66 ,0.18 ,0.30 ,6.51 ,3.53 ,1.99 ,30.81 
I66472,161390,한국타이어앤테크놀로지(주),33300.00 ,32900.00 ,33400.00 ,32850.00 ,25580.00 ,211255.00 ,7004068300.00 ,37.84 ,1.39 ,0.88 ,35.79 ,99.40 ,2.07 ,34.69 
IQ7228,271560,(주)오리온,118000.00 ,116500.00 ,118500.00 ,115500.00 ,90090.00 ,113335.00 ,13309788000.00 ,50.56 ,5.78 ,5.59 ,32.37 ,26.39 ,0.64 ,30.23 
IV0057,280360,롯데웰푸드(주),121000.00 ,121000.00 ,123500.00 ,118500.00 ,91580.00 ,49672.00 ,5971157000.00 ,25.55 ,0.50 ,0.63 ,5.19 ,5.04 ,1.32 ,22.21 
L07656,185750,(주)종근당,87900.00 ,86500.00 ,88400.00 ,86500.00 ,64980.00 ,19803.00 ,1731903300.00 ,25.16 ,0.74 ,1.85 ,64.90 ,8.32 ,1.12 ,24.10 
1471,33780,(주)케이티앤지,97500.00 ,98200.00 ,98400.00 ,97100.00 ,78560.00 ,506988.00 ,49503986050.00 ,14.14 ,3.46 ,1.68 ,10.93 ,9.85 ,4.30 ,13.83 
64847,32640,(주)LG유플러스,11700.00 ,11900.00 ,11900.00 ,11700.00 ,9560.00 ,776841.00 ,9123921550.00 ,7.48 ,0.40 ,0.85 ,1.52 ,1.58 ,2.94 ,22.48 
86512,69960,(주)현대백화점,59100.00 ,58600.00 ,59200.00 ,58400.00 ,46090.00 ,35410.00 ,2087490000.00 ,8.51 ,0.86 ,0.35 ,3.16 ,3.32 ,1.74 ,24.78 
88102,20000,(주)한섬,26900.00 ,26700.00 ,27300.00 ,26400.00 ,20480.00 ,63522.00 ,1710145300.00 ,5.07 ,0.43 ,0.58 ,3.28 ,2.79 ,1.99 ,34.58 
162210,51900,(주)LG생활건강,693000.00 ,680000.00 ,700000.00 ,676000.00 ,496080.00 ,43404.00 ,30025104000.00 ,19.13 ,2.34 ,3.70 ,15.45 ,10.58 ,1.63 ,42.21 
163890,86280,현대글로비스(주),174000.00 ,171500.00 ,174000.00 ,171000.00 ,134550.00 ,54810.00 ,9487661500.00 ,10.35 ,0.37 ,1.37 ,6.80 ,5.27 ,2.18 ,31.15 
170258,57050,(주)현대홈쇼핑,53100.00 ,53800.00 ,54100.00 ,53000.00 ,40960.00 ,16776.00 ,895461100.00 ,13.58 ,0.56 ,0.43 ,6.78 ,4.12 ,4.31 ,20.70 
208389,69260,티케이지휴켐스(주),21100.00 ,21200.00 ,21350.00 ,21050.00 ,16260.00 ,97541.00 ,2066489050.00 ,11.13 ,0.94 ,1.25 ,9.73 ,6.56 ,4.45 ,31.25 
251763,68270,(주)셀트리온,179000.00 ,176500.00 ,179000.00 ,176500.00 ,125650.00 ,259127.00 ,46187867000.00 ,42.75 ,15.13 ,8.73 ,30.45 ,27.57 ,0.43 ,39.00 
310123,4370,(주)농심,334500.00 ,334500.00 ,336000.00 ,329500.00 ,260910.00 ,12314.00 ,4105042000.00 ,27.20 ,0.92 ,1.01 ,13.99 ,14.41 ,1.14 ,25.96 
310140,3230,삼양식품(주),117000.00 ,118500.00 ,118500.00 ,115500.00 ,93210.00 ,47212.00 ,5531326000.00 ,17.98 ,1.40 ,2.49 ,16.60 ,12.80 ,0.85 ,38.20 
310301,7310,(주)오뚜기,457500.00 ,458500.00 ,461500.00 ,454000.00 ,358410.00 ,6745.00 ,3086594500.00 ,15.42 ,0.64 ,1.24 ,12.57 ,7.57 ,1.62 ,21.04 
350338,4000,롯데정밀화학(주),59700.00 ,58900.00 ,59700.00 ,58700.00 ,46410.00 ,45939.00 ,2720146600.00 ,5.74 ,0.85 ,0.88 ,4.97 ,4.15 ,3.80 ,31.70 
350354,990,(주)DB하이텍,40550.00 ,40350.00 ,40700.00 ,40050.00 ,30520.00 ,302802.00 ,12222610250.00 ,5.56 ,1.45 ,1.66 ,4.33 ,3.24 ,1.08 ,42.62 
350559,5250,(주)녹십자홀딩스,18050.00 ,18000.00 ,18400.00 ,17750.00 ,13460.00 ,64361.00 ,1161570250.00 ,22.99 ,11.58 ,1.38 ,23.04 ,21.81 ,2.12 ,36.53 
350893,880,(주)한화,27950.00 ,27500.00 ,28000.00 ,27300.00 ,21680.00 ,142042.00 ,3952935450.00 ,19.72 ,0.65 ,0.78 ,6.94 ,8.04 ,2.46 ,30.77 
351113,14680,(주)한솔케미칼,197500.00 ,198000.00 ,200500.00 ,197000.00 ,152760.00 ,26929.00 ,5332426000.00 ,16.88 ,3.85 ,3.70 ,18.54 ,11.28 ,1.04 ,44.81 
351350,11780,금호석유화학(주),139500.00 ,138500.00 ,140000.00 ,136000.00 ,106400.00 ,83785.00 ,11591927500.00 ,3.94 ,0.71 ,1.52 ,3.11 ,2.66 ,5.93 ,37.16 
355399,6280,(주)녹십자,139000.00 ,137500.00 ,141000.00 ,135500.00 ,101160.00 ,28674.00 ,3976285000.00 ,11.22 ,1.36 ,1.45 ,13.48 ,15.90 ,1.41 ,40.86 
361267,26960,(주)동서,20600.00 ,20550.00 ,20900.00 ,20500.00 ,15460.00 ,54736.00 ,1130572200.00 ,17.93 ,4.09 ,1.43 ,24.98 ,57.23 ,3.36 ,27.37 
